Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
4,Dans votre domicile,2,2.0,2,Un peu,28.0,4,Une fois dans la semaine ou moins,2,2,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide,C'est difficile de se concentrer,Vous vous sentez isolé.e","Oui, on est plus proches",Travailler en équipe,0.0,4,Oui,2,"Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail, Votre entreprise s'organise mieux, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez",Jamais,Mon travail est plus étalé sur la journée et le soir,4,3,5,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous avez des sautes d'humeur,Les gens qui sortent,la quarantaine devrait être plus stricte",Une femme,"Oui, un jardin",55.0,3,27,"Les tâches ménagères,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les interactions à distance avec vos proches,La présence d'autres personnes,La situation liée au Covid 19",4.80684682586,47.2342810903,Aucune,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",5.0,2.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,5,4.0,1,Beaucoup,40.0,3,Une fois dans la semaine ou moins,4,3,"Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes",C'est pareil,Aucun des choix précédents,1.0,3,Oui,2,Vous dormez mieux,Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,4,1,Non pas du tout,Institution publique,4.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, un jardin",96.0,3,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,La présence d'autres personnes",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A faire plus attention à mes proches",3.0,4.0,En couple et nous sommes confinés ensemble
1,Dans votre domicile,1,6.0,3,Un peu,46.0,4,Un jour sur deux ou moins,3,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,Vous travaillez seul la plupart du temps,0.0,4,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,4,2,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),6.0,"Oui, une fois de temps en temps",De 30min à 1h,4,Employé,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Vous avez des sautes d'humeur",Une femme,"Oui, un jardin",350.0,3,32,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.77138411879,49.9695114087,Aucune,"A changer mes priorités, A télétravailler",3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,3.0,4,Un peu,32.0,4,Une fois par jour,4,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",1.0,5,Non,3,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,3,4,3,Non pas du tout,Association,2.0,Non,De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés,manque de dépistage massif + confinement total",Un homme,"Oui, une terrasse ou un balcon",57.0,1,93,"La présence d'autres personnes,La situation liée au Covid 19",6.06098593796,43.9587502921,1-3 personnes,"A télétravailler, A changer mes priorités",3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,4.0,4,Un peu,45.0,3,Une fois par jour,2,4,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Les journées en télétravail sont plus fatiguantes,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",1.0,5,Oui,2,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Non,4,4,3,Un peu,Grande entreprise (plus de 5000 salariés),4.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,2,"Avoir des projets annulés,Ne pas pouvoir aller au bureau,Ne pas pouvoir sortir dehors",Une femme,"Oui, une terrasse ou un balcon",110.0,3,84,"La présence d'autres personnes,Les tâches ménagères,Les interactions à distance avec vos proches",4.5361294779,45.5146468499,Aucune,"A faire plus attention à mes proches, A changer mes priorités",3.0,2.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,3.0,4,"Non, je les utilisais déjà beaucoup",24.0,3,Une fois par jour,1,5,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,Travailler en équipe,0.0,3,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,4,1,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,5,Cadre ou profession intellectuelle supérieure,1,"Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e,Les gens qui sortent,la quarantaine devrait être plus stricte",Une femme,"Oui, un jardin",130.0,3,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Vous regardez très régulièrement l'actualité,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,1-3 personnes,Rien,3.0,5.0,Célibataire
3,Dans votre résidence secondaire,3,2.0,4,Un peu,29.0,5,Un jour sur deux ou moins,5,5,"Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes,Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide",C'est pareil,Travailler en équipe,0.0,5,Oui,2,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée,4,3,4,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),0.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e",Une femme,"Oui, un jardin",250.0,4,84,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",4.5361294779,45.5146468499,Aucune,"A faire plus attention à mes proches, A changer mes priorités",1.0,5.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,3.0,5,Beaucoup,58.0,3,Une fois par jour,2,4,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,3,Oui,3,on est obligé de mieux s'organiser,Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,2,4,Non pas du tout,Institution publique,3.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés,Vous dormez mal",Une femme,"Oui, un jardin",110.0,5,76,"La situation liée au Covid 19,Les tâches ménagères",2.14393168551,43.702501805,1-3 personnes,A changer mes priorités,2.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,2.0,4,"Non, je les utilisais déjà beaucoup",25.0,4,Une fois dans la semaine ou moins,1,5,"La communication avec vos collègues est moins fluide,Certaines de mes tâches sont impossibles à faire a distance,cela perturbe beaucoup mon planning annuel.",C'est pareil,Vous travaillez seul la plupart du temps,0.0,4,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,Aucun espace extérieur,30.0,3,11,"Vous n'êtes pas particulièrement distrait.e,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.7093130373,Aucune,Rien,4.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,2.0,4,Un peu,23.0,4,Une fois dans la semaine ou moins,5,3,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,"Oui, on est plus proches",Travailler en équipe,0.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports, Vous pouvez faire des pauses dans la journée",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,3,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Employé,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",55.0,3,75,"La situation liée au Covid 19,Les interactions à distance avec vos proches",0.207590925898,45.2068394103,4-9 personnes,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",4.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,1.0,2,Un peu,60.0,3,Une fois dans la semaine ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,Travailler en équipe,0.0,3,Oui,2,Vous perdez moins de temps dans les transports,Jamais,Non,3,3,2,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,Non,De 10 à 30min,2,Profession intermédiaire,3,La santé de vos proches,Une femme,"Oui, un jardin",95.0,2,76,Les interactions à distance avec vos proches,2.14393168551,43.702501805,Aucune,Rien,3.0,4.0,Célibataire
2,Dans votre domicile,3,1.0,2,"Non, je les utilisais déjà beaucoup",29.0,5,Une fois dans la semaine ou moins,3,4,"C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,2,Oui,1,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",Jamais,Mon travail est plus étalé sur la journée et le soir,3,1,3,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,le niveau d'intelligence collective et de maturité de certains citoyens",Un homme,Aucun espace extérieur,25.0,5,24,"La situation liée au Covid 19,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",1.68439387012,47.4847733655,Aucune,"A télétravailler, A changer mes priorités, A être plus autonome",3.0,4.0,Célibataire
2,Dans votre domicile,2,1.0,2,Un peu,32.0,3,Un jour sur deux ou moins,2,4,"Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,4,Oui,1,"Vous avez davantage de temps libre, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,2,1,3,Non pas du tout,Institution publique,2.0,Non,De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés,Vous dormez mal,Vous avez des sautes d'humeur",Un homme,Aucun espace extérieur,40.0,5,11,La situation liée au Covid 19,2.50339683029,48.7093130373,4-9 personnes,A changer mes priorités,3.0,4.0,Célibataire
2,Dans votre domicile,3,3.0,2,Un peu,31.0,3,Une fois dans la semaine ou moins,1,3,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler,C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,Faire du développement commercial,1.0,1,Oui,3,Vous interagissez davantage avec les personnes qui vous entourent,Exceptionnellement,Mon travail est plus étalé sur la journée,3,3,3,Un peu,Petite et moyenne entreprise (10 à 250 salariés),3.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Avoir des projets annulés,Vous vous sentez seul.e,Vous avez des sautes d'humeur",Une femme,"Oui, une cour",48.0,2,11,"La présence d'autres personnes,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,1-3 personnes,"A faire plus attention à mes proches, A changer mes priorités",2.0,4.0,En couple et nous sommes confinés ensemble
2,Chez un membre de votre famille,3,4.0,1,Un peu,28.0,4,Une fois par jour,2,3,La communication avec vos collègues est moins fluide,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,2,Oui,4,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports, Je prends le temps de petit-déjeuner + déjeuner équilibré",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,1,4,Un peu,Institution publique,2.0,"Oui, le plus possible",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,2,La santé de vos proches,Une femme,"Oui, un jardin",180.0,2,75,Vous n'êtes pas particulièrement distrait.e,0.207590925898,45.2068394103,Aucune,"A télétravailler, A être plus autonome",4.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,3.0,4,Un peu,24.0,3,Une fois dans la semaine ou moins,2,2,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,4,Je n'en ai pas besoin,3,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous êtes plus concentré.e sur votre travail",Jamais,Non,3,5,4,Non pas du tout,Très petite entreprise (moins de 10 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Employé,3,"La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir,Ne pas pouvoir sortir dehors,Vous dormez mal,Les gens qui sortent,la quarantaine devrait être plus stricte",Une femme,"Oui, une terrasse ou un balcon",75.0,3,84,Les tâches ménagères,4.5361294779,45.5146468499,Aucune,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,C'est compliqué
2,Dans votre domicile,3,4.0,5,Beaucoup,39.0,4,Deux fois ou plus par jour,2,5,"La communication avec vos collègues est moins fluide,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",2.0,3,Oui,2,Vous perdez moins de temps dans les transports,Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,4,4,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),4.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Grossir,Les gens qui sortent,la quarantaine devrait être plus stricte",Un homme,"Oui, un jardin",160.0,5,52,"Les tâches ménagères,La présence d'autres personnes,Les interactions à distance avec vos proches",-0.816811477397,47.4780987977,Aucune,Rien,4.0,5.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,4.0,2,Un peu,47.0,4,Une fois dans la semaine ou moins,2,3,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,"Non, nos relations se détériorent légèrement",Vous travaillez seul la plupart du temps,1.0,2,Oui,2,Vous perdez moins de temps dans les transports,1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,2,Non pas du tout,Institution publique,4.0,"Oui, le plus possible",De 30min à 1h,4,Fonctionnaire,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, un jardin",90.0,4,84,Les interactions à distance avec vos proches,4.5361294779,45.5146468499,1-3 personnes,"A changer mes priorités, A faire plus attention à mes proches",2.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,2.0,4,"Non, je les utilisais déjà beaucoup",21.0,4,Une fois dans la semaine ou moins,2,4,La communication avec vos collègues est moins fluide,C'est pareil,Aucun des choix précédents,0.0,5,Oui,4,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports, Aménagement des horaires donc travail plus productif",Jamais,Mon travail est plus étalé sur la journée et le soir,4,3,4,Non pas du tout,Association,2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Stagiaire,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Une femme,"Oui, une terrasse ou un balcon",70.0,4,24,"Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,La présence d'autres personnes",1.68439387012,47.4847733655,Aucune,A télétravailler,4.0,4.0,En couple et nous sommes confinés ensemble
4,Chez un membre de votre famille,2,3.0,5,Un peu,30.0,5,Un jour sur deux ou moins,2,4,La communication avec vos collègues est moins fluide,"Oui, on est plus proches",Vous travaillez seul la plupart du temps,0.0,5,Oui,5,"Vous avez davantage de temps libre, Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,3,3,5,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, le plus possible",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir",Une femme,"Oui, un jardin",110.0,5,76,Vous n'êtes pas particulièrement distrait.e,2.14393168551,43.702501805,Plus de 10 personnes,Rien,5.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,2.0,3,Beaucoup,30.0,4,Un jour sur deux ou moins,2,2,La communication avec vos collègues est moins fluide,"Oui, on est plus proches",Manager des équipes ou des projets,0.0,4,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,3,2,4,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, le plus possible",De 30min à 1h,5,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir",Une femme,Aucun espace extérieur,40.0,3,11,Activité sportive,2.50339683029,48.7093130373,Aucune,"A changer mes priorités, A faire plus attention à mes proches, A être plus autonome",4.0,2.0,En couple et nous sommes confinés ensemble
3,Chez des amis / Chez la famille,3,3.0,4,"Non, je les utilisais déjà beaucoup",29.0,4,Deux fois ou plus par jour,3,4,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est pareil,Vous travaillez seul la plupart du temps,0.0,3,Non,2,Aucun changement positif par rapport á la situation initiale,Tous les jours,Non,4,4,4,Un peu,Entreprise individuelle ou indépendant,2.0,Comme avant (si vous en faisiez déjà),Moins de 10min,3,Cadre ou profession intellectuelle supérieure,2,"Ne pas pouvoir sortir dehors,Un confinement uniforme,sans discernement quant aux facteurs de risque. J'ai 29 ans et 0.1% de chance de mourir du COVID-19. Peut-on appliquer un confinement sélectif aux populations á risque (e.g. >50 ans,obése,diabétique,maladies respiratoires). En somme,mettre en place un confinement intelligent vs. arbitraire !",Un homme,"Oui, une cour",40.0,4,24,"La présence d'autres personnes,Les interactions à distance avec vos proches,Les tâches ménagères",1.68439387012,47.4847733655,1-3 personnes,"A changer mes priorités, A allouer plus de temps á être avec les personnes importantes pour moi á l'avenir",2.0,3.0,C'est compliqué
2,Dans votre domicile,2,4.0,4,Un peu,44.0,3,Une fois par jour,2,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Vous vous sentez isolé.e,Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,2.0,4,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Jamais,Non,2,3,2,Un peu,Petite et moyenne entreprise (10 à 250 salariés),4.0,Non,De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, un jardin",160.0,3,44,"La situation liée au Covid 19,La présence d'autres personnes",5.61310830551,48.6889749341,1-3 personnes,"A télétravailler, A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",2.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,3.0,4,Un peu,22.0,4,Une fois dans la semaine ou moins,3,4,"La communication avec vos collègues est moins fluide,C'est difficile de se concentrer",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,2,Oui,2,"Vous perdez moins de temps dans les transports, Vous avez davantage de temps libre",Jamais,Non,3,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),3.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"Avoir des projets annulés,Vous vous sentez seul.e,Ne pas pouvoir sortir dehors,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,"Oui, un jardin",70.0,4,76,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.14393168551,43.702501805,Aucune,Rien,2.0,3.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,3,2.0,4,Beaucoup,32.0,5,Une fois dans la semaine ou moins,4,4,Vous avez l'impression de ne jamais vous arrêter de travailler,"Oui, on est plus proches",Travailler en équipe,0.0,5,Oui,3,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports, Vous pouvez vous habiller comme vous voulez, Vous en profitez pour apprendre de nouvelles choses",Tous les jours,Non,3,4,4,Beaucoup,Entreprise individuelle ou indépendant,2.0,Comme avant (si vous en faisiez déjà),Moins de 10min,3,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",50.0,3,93,"Vous regardez très régulièrement l'actualité,La situation liée au Covid 19",6.06098593796,43.9587502921,1-3 personnes,A faire plus attention à mes proches,4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,2.0,3,Un peu,27.0,4,Un jour sur deux ou moins,3,5,C'est difficile de se concentrer,"Oui, ça améliore beaucoup nos relations",Vous travaillez seul la plupart du temps,0.0,5,Je n'en ai pas besoin,4,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,5,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Une femme,"Oui, une terrasse ou un balcon",55.0,4,76,"Les interactions à distance avec vos proches,Les tâches ménagères",2.14393168551,43.702501805,Aucune,"A faire plus attention à mes proches, A changer mes priorités",3.0,2.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,2.0,2,"Non, je les utilisais déjà beaucoup",56.0,3,Un jour sur deux ou moins,1,4,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,Vous travaillez seul la plupart du temps,0.0,4,Je n'en ai pas besoin,2,"Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Tous les jours,Non,3,3,2,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Profession intermédiaire,2,"La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors",Une femme,"Oui, un jardin",100.0,3,76,Vous n'êtes pas particulièrement distrait.e,2.14393168551,43.702501805,1-3 personnes,"A faire plus attention à mes proches, A changer mes priorités",3.0,4.0,En couple et nous sommes confinés ensemble
